year,no,key,link,item,item2
110,11,B,,"關於表皮癌前病變，下列敘述何者正確？
①日光性角化症 (actinic keratoses) 絕大部分都會進展為鱗狀上皮細胞癌。
②使用光動力療法治療表皮癌前病變，其優點為預後及外觀較佳。
③與epidermodysplasia verruciformis最相關的人類乳突病毒(HPV)為type 16, 18
④erythroplasia of Queyrat和genital Bowen disease相比，前者轉變為鱗狀上皮細胞癌的風險較低。
A. ①　　B. ②　　C. ③　　D. ④","Regarding epidermal precancerous lesions, which of the following statements is correct?
①Most cases of actinic keratoses will progress to squamous cell carcinoma.
②The advantage of using photodynamic therapy to treat epidermal precancerous lesions is better prognosis and appearance.
③The human papillomavirus (HPV) most related to epidermodysplasia verruciformis is type 16, 18
④Compared with genital Bowen disease, erythroplasia of Queyrat has a lower risk of transforming into squamous cell carcinoma.
A. ① B. ② C. ③ D. ④"
110,12,E,,"關於藥物所引起的皮膚反應，下列敘述何者錯誤？
①acute generalized exanthematous pustulosis的發生，常和macrolide及β-lactam等抗生素有相關，會在軀幹及對磨部位(intertriginous region)出現膿泡，也常會引發關節炎。
②amiodarone會引起sun-exposed areas的色素沈著，而tetracycline 主要是引起粘膜的色素沈著，不會發生在sun-exposed areas。
③最常引起subacute cutaneous lupus erythematosus 的藥物包括terbinafine，thiazide diuretics 等。通常在用藥後平均一週內，就會引發此皮膚症狀。
④sorafenib較常引起hand-foot syndrome，而非hand-foot skin reaction。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Regarding skin reactions caused by drugs, which of the following statements is incorrect?
①The occurrence of acute generalized exanthematous pustulosis is often related to antibiotics such as macrolide and β-lactam. Pustules will appear on the trunk and intertriginous region, and it often causes arthritis.
②Amiodarone will cause pigmentation in sun-exposed areas, while tetracycline mainly causes pigmentation in mucous membranes and will not occur in sun-exposed areas.
③The drugs that most commonly cause subacute cutaneous lupus erythematosus include terbinafine, thiazide diuretics, etc. This skin symptom usually occurs within an average of one week after taking the drug.
④Sorafenib more commonly causes hand-foot syndrome, rather than hand-foot skin reaction.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,13,E,,"下列哪一些外用藥物有去角質(keratolysis)的作用？
①40% salicylic acid
②40% α-hydroxy acids
③40% urea
④40% propylene glycol
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Which of the following topical drugs have the effect of exfoliation (keratolysis)?
①40% salicylic acid
②40% α-hydroxy acids
③40% urea
④40% propylene glycol
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,14,C,,"關於Muir-Torre syndrome，下列敘述何者錯誤？
①是DNA mismatch repair功能異常造成。
②遺傳模式為autosomal dominant。
③sebaceous carcinoma中，ocular type與Muir-Torre syndrome的關聯性遠高於extraocular type。
④病人可能出現大腸癌、子宮內膜癌等。
A. ①　　B. ②　　C. ③　　D. ④","Regarding Muir-Torre syndrome, which of the following statements is incorrect?
① It is caused by abnormal DNA mismatch repair function.
②The inheritance mode is autosomal dominant.
③In sebaceous carcinoma, the correlation between ocular type and Muir-Torre syndrome is much higher than that of extraocular type.
④Patients may develop colorectal cancer, endometrial cancer, etc.
A. ① B. ② C. ③ D. ④"
110,15,A,,"川崎氏症(Kawasaki disease)是兒童最常見的後天性心臟病。關於川崎氏症(Kawasaki disease)，下列敘述何者正確？
①病人通常持續高燒5天以上，常伴有廣泛皮疹表現(generalized exanthem)。
②一旦確診，應盡速給予每日2mg/kg之靜脈注射免疫球蛋白(intravenous immunoglobulin)共三日及合併阿斯匹靈(aspirin)治療。
③全身血管都可能會受影響，但最主要以中型動脈(medium-sized muscular arteries)，如冠狀動脈(coronary arteries)受損為主。
④病人可有黏膜病灶表現，例如草莓舌(strawberry tongue)和雙側之滲出性結膜炎(exudative conjunctivitis)，很少發生畏光情形(photophobia)。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Kawasaki disease is the most common acquired heart disease in children. Regarding Kawasaki disease, which of the following statements is correct?
①Patients usually have high fever for more than 5 days, often accompanied by generalized exanthem.
② Once confirmed, intravenous immunoglobulin (intravenous immunoglobulin) at 2 mg/kg per day should be given as soon as possible for three days and combined with aspirin treatment.
③ All blood vessels throughout the body may be affected, but medium-sized muscular arteries, such as coronary arteries, are most commonly damaged.
④Patients may have mucosal lesions, such as strawberry tongue and bilateral exudative conjunctivitis, and rarely photophobia.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,16,C,,"關於傷口癒合的分期，下列何者正確？
①coagulation phase時纖維蛋白栓(fibrin plug)形成，血小板凝集，並釋出促進發炎介質。
②inflammatory phase可在數小時到數天內發生，血球移入傷口，主要參與的細胞為neutrophils, monocytes, macrophages。
③proliferative phase時程為數天至數週，上皮再形成(reepithelialization)在此時期發生。④remodeling phase可長達數月，myofibroblasts經phenotypic switch變為fibroblasts進行傷口重塑，同時促進type 1 collagen轉變為較穩定的type 3 collagen。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Regarding the staging of wound healing, which of the following is correct?
①During the coagulation phase, fibrin plugs form, platelets aggregate, and release mediators that promote inflammation.
②The inflammatory phase can occur within hours to days. Blood cells move into the wound. The main cells involved are neutrophils, monocytes, and macrophages.
③The proliferative phase lasts from days to weeks, and re-epithelialization occurs during this period. ④The remodeling phase can last for several months. Myofibroblasts undergo phenotypic switch into fibroblasts for wound remodeling, while promoting the transformation of type 1 collagen into the more stable type 3 collagen.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,17,D,,"有關平滑肌錯構瘤(smooth muscle hamartoma)，下列敘述何者錯誤？
①病灶處可合併色素及毛髮增加。
②摩擦病灶後可以更清楚看見其上的丘疹及豎毛肌收縮(piloerection)的現象，稱為pseudo-Darier sign。
③臨床及病理與Becker nevus有相似之處。
④有惡性變化之風險。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Regarding smooth muscle hamartoma, which of the following statements is incorrect?
①The lesions may be combined with increased pigmentation and hair.
② After rubbing the lesion, you can see the papules on it more clearly and the contraction of the arrector pili muscle (piloerection), which is called pseudo-Darier sign.
③There are clinical and pathological similarities with Becker nevus.
④ There is a risk of malignant changes.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,18,A,,"有關黴菌感染，下列敘述何者正確？
①非發炎型態的頭癬的致病原常為親人的(anthropophilic)真菌，如Microsporum ferrugineum感染，在伍氏燈(Wood lamp)下可見到黃綠色或灰綠色螢光。
②汗斑及皮屑芽孢菌毛囊炎(Malassezia folliculitis)最常分離出的菌種是Malassezia furfur，以伍氏燈(Wood lamp)照射有可能見到黃綠色螢光。
③親動物(zoophilic)或親土性(geophilic)的真菌，如Microsporum canis和Microsporum gypseum較易發展成發炎型態的頭癬，在伍氏燈(Wood lamp)下可見到黃綠色或灰綠色螢光。
④若頭癬具有許多黑點(black dots)需考慮毛內癬菌(endothrix)，如Trichophyton tonsurans或Trichophyton violaceum感染，在伍氏燈(Wood lamp)下可見到黃綠色或灰綠色螢光。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Regarding fungal infections, which of the following statements is correct?
①The causative agent of non-inflammatory tinea capitis is often anthropophilic fungi, such as Microsporum ferrugineum infection, and yellow-green or gray-green fluorescence can be seen under a Wood lamp.
②The most commonly isolated species of malassezia folliculitis (Malassezia folliculitis) is Malassezia furfur. It is possible to see yellow-green fluorescence when illuminated with a Wood lamp.
③ Zoophilic or geophilic fungi, such as Microsporum canis and Microsporum gypseum, are more likely to develop inflammatory forms of tinea capitis, and yellow-green or gray-green fluorescence can be seen under a Wood lamp.
④ If tinea capitis has many black dots, endothrix, such as Trichophyton tonsurans or Trichophyton violaceum infection, should be considered. Yellow-green or gray-green fluorescence can be seen under a Wood lamp.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,19,D,,"傷口的處理是門診重要的處置，下列有關傷口照顧的敘述何者錯誤？
①傷口的癒合應觀察期為4週，如超過4週未癒合，則應考慮調整傷口照顧與處理方法。
②lipodermatosclerosis於急性期可以使用stanozolol加以控制。
③急性傷口的組織液對於傷口癒合有幫助，但慢性傷口的組織液反而會抑制傷口的癒合。
④水凝膠(hydrogel)對傷口癒合有幫助，適合使用在車禍創傷後的傷口。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Wound management is an important treatment in the outpatient clinic. Which of the following statements about wound care is incorrect?
① The wound healing period should be observed for 4 weeks. If it does not heal after 4 weeks, you should consider adjusting the wound care and treatment methods.
② Lipodermatosclerosis can be controlled with stanozolol in the acute stage.
③The tissue fluid in acute wounds is helpful for wound healing, but the tissue fluid in chronic wounds will inhibit wound healing.
④Hydrogel helps in wound healing and is suitable for use in wounds after car accidents.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,20,E,,"有關amyloidosis，下列敘述何者正確？
①immunoglobulin light chain、serum amyloid A、lysozyme、cystatin C、galectin 7等皆可能是precursor protein。
②systemic AL amyloidosis可能會出現periorbital purpura, macroglossia, lingual nodules等皮膚表現。
③nodular amyloidosis大部分是AL amyloid，可能進展為systemic AL amyloidosis。
④局部注射insulin或enfuvirtide都可能造成注射部位amyloid沈積。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Regarding amyloidosis, which of the following statements is correct?
①Immunoglobulin light chain, serum amyloid A, lysozyme, cystatin C, galectin 7, etc. may all be precursor proteins.
②Systemic AL amyloidosis may cause skin manifestations such as peripheral purpura, macroglossia, and lingual nodules.
③Nodular amyloidosis is mostly AL amyloid and may progress to systemic AL amyloidosis.
④ Local injection of insulin or enfuvirtide may cause amyloid deposition at the injection site.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,21,A,,"有關乳房外柏哲德氏病extrammamary Paget’s disease (EMPD)，下列敘述何者正確？
①EMPD與mammary Paget’s disease 相比，大約只有20-30%的人會合併內臟器官腫瘤。
②primary EMPD 其mucin core protein 2 (MUC2) 染色通常為陽性。
③前哨淋巴結的檢查對於CEA陽性反應的EMPD病人較有幫助。
④secondary EMPD的CK20比較常呈現陰性，而GCDFP-15則是比較容易呈現陽性。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Regarding extramammary Paget’s disease (EMPD), which of the following statements is correct?
①Compared with mammary Paget’s disease, only about 20-30% of people with EMPD will develop internal organ tumors.
②Primary EMPD usually stains positive for mucin core protein 2 (MUC2).
③The examination of sentinel lymph nodes is more helpful for EMPD patients with CEA-positive reaction.
④The CK20 of secondary EMPD is more likely to be negative, while GCDFP-15 is more likely to be positive.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,22,A,,"35歲男性患者小腿出現疼痛潰瘍病灶已有兩個月的時間，臨床懷疑是壞疽膿皮症(pyoderma gangrenosum)，關於此患者進一步的評估，下列敘述何者正確？
①即使患者有pathergy的現象，以切片作為輔助診斷時，仍舊必需切到潰瘍的發炎部位和正常組織。
②此患者如果同時合併有關節痛和痤瘡(acne)病灶，則可能是罹患PAPA syndrome (pyogenic arthritis, pyoderma gangrenosum and acne)，這是autosomal recessive的遺傳性疾病。
③患者可能合併其他疾病，其中大約有1/3患者罹患inflammatory bowel disease。
④所有的患者都需要檢驗full blood cell count, autoantibody (antinuclear antibodies)。血清protein electrophoresis 和immunofixation studies 則不需要檢驗。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","A 35-year-old male patient has had painful ulcers on his lower legs for two months. The clinical suspicion is pyoderma gangrenosum. Regarding the further evaluation of this patient, which of the following statements is correct?
① Even if the patient has pathology, when using biopsy as an auxiliary diagnosis, it is still necessary to cut into the inflamed part of the ulcer and the normal tissue.
②If this patient has joint pain and acne lesions at the same time, he may be suffering from PAPA syndrome (pyogenic arthritis, pyoderma gangrenosum and acne), which is an autosomal recessive hereditary disease.
③Patients may be complicated by other diseases, and about 1/3 of them suffer from inflammatory bowel disease.
④All patients need to test full blood cell count, autoantibody (antinuclear antibodies). Serum protein electrophoresis and immunofixation studies do not need to be tested.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,23,D,,"有關法布瑞氏症(Fabry disease)，下列敘述何者錯誤？
➀是一罕見X-linked lysosomal storage disorder，主要和𝛼-galactosidase A deficiency導致glycosphingolipids沈積有關。
➁酵素製劑(agalsidase alfa及agalsidase beta)可用來治療此疾病所造成的代謝障礙及連帶導致的多種器官病變。
➂不論性別，若出現皮膚血管病灶如telangiectases, angiokeratoma較易有major organ involvement。
➃高達1/3男性病患和2/3女性病患會出現angiokeratoma的皮膚表現。
A. ①　　B. ②　　C. ③　　D. ④","Regarding Fabry disease, which of the following statements is incorrect?
➀It is a rare X-linked lysosomal storage disorder, mainly related to the deposition of glycosphingolipids caused by 𝛼-galactosidase A deficiency.
➁Enzyme preparations (agalsidase alfa and agalsidase beta) can be used to treat the metabolic disorders caused by this disease and the associated multiple organ lesions.
➂Regardless of gender, if skin vascular lesions such as telangiectases occur, angiokeratoma is more likely to have major organ involvement.
➃Up to 1/3 of male patients and 2/3 of female patients will develop cutaneous manifestations of angiokeratoma.
A. ① B. ② C. ③ D. ④"
110,24,A,,"關於類天疱瘡(bullous pemphigoid)，下列敘述何者正確？
①臨床上可表現為局限於手腳掌部位之汗疱疹樣(dyshidrotic dermatitis-like)病灶。
②黏膜型類天疱瘡(mucous membrane pemphigoid)會影響眼睛或口腔黏膜，但不會造成禿髮。
③近年研究發現癌症免疫療法藥物anti–programmed cell death receptor 1 (anti–PD-1) antibody或降血糖藥物dipeptidyl peptidase 4 (DPP4)抑制劑均有可能誘發類天疱瘡。
④藉由NaCl-split 處理後之免疫螢光染色可見類天疱瘡(bullous pemphigoid)抗體結合在裂隙底部。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Regarding bullous pemphigoid, which of the following statements is correct?
①Clinical manifestations include dyshidrotic dermatitis-like lesions limited to the soles of the hands and feet.
② Mucous membrane pemphigoid can affect the eyes or oral mucosa, but does not cause baldness.
③Recent studies have found that the cancer immunotherapy drug anti-programmed cell death receptor 1 (anti-PD-1) antibody or the hypoglycemic drug dipeptidyl peptidase 4 (DPP4) inhibitor may induce pemphigoid.
④Using immunofluorescence staining after NaCl-split treatment, bullous pemphigoid antibodies can be seen bound to the bottom of the fissure.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,25,C,,"關於nocardiosis，下列敘述何者正確？
①nocardiosis感染臨床上若以蜂窩性組織炎表現，比較好發於上肢。
②nocardiosis感染其染色呈現革蘭氏陽性絲狀菌外，並無弱抗酸性反應。
③治療以磺胺類抗生素(sulfonamide)為主。
④nocardiosis感染若以sporotrichoid形式表現，位置以下肢最常見。
A. ①　　B. ②　　C. ③　　D. ④","Regarding nocardiosis, which of the following statements is correct?
① If nocardiosis infection manifests clinically as cellulitis, it is more likely to occur in the upper limbs.
② Nocardiosis infection shows no weak acid-resistant reaction except for Gram-positive filamentous bacteria.
③The main treatment is sulfonamide antibiotics.
④If nocardiosis infection manifests in the form of sporotrichoid, the most common location is the lower limbs.
A. ① B. ② C. ③ D. ④"
110,26,C,,"關於皮膚外科手術，下列敘述何者錯誤？
①Mohs micrographic surgery(MMS)在處理切下來的手術樣本時，是採用bread-loaf fashion。
②臉部靜脈有靜脈瓣，可使靜脈血往單一方向流動避免回流。
③服用aspirin, warfarin, rivaroxaban或apixaban是進行Mohs micrographic surgery(MMS)的contraindication。
④Cupid’s bow是指位於人中(philtrum)下緣上嘴唇隆起的弧度輪廓區域，是美容手術的重要landmark之一。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Regarding dermatological surgery, which of the following statements is incorrect?
①Mohs micrographic surgery (MMS) uses bread-loaf fashion when processing cut surgical samples.
② Facial veins have venous valves that allow venous blood to flow in one direction to avoid backflow.
③Taking aspirin, warfarin, rivaroxaban or apixaban is a contraindication for Mohs micrographic surgery (MMS).
④Cupid’s bow refers to the convex curved contour area of the upper lip located at the lower edge of the philtrum. It is one of the important landmarks of cosmetic surgery.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,27,B,,"關於異位性皮膚炎(atopic dermatitis)患者的臨床表徵和治療，下列何者正確？
①皮膚病灶分布的區域會隨著患者的年齡不同有所改變，在嬰兒時期，最常發生在頭皮，臉部和尿布包覆處。
②因為組織胺不是造成異位性皮膚炎癢感的主要物質，目前沒有足夠證據顯示抗組織胺可以有效改善異位性皮膚炎的癢感。
③用來治療異位性皮膚炎的生物製劑dupilumab，是作用在IL-4 receptor α subunit 的單株抗體，常見的副作用是感染性結膜炎。
④患者皮膚症狀的嚴重程度，和其產生其他過敏疾病包括氣喘(asthma)，食物過敏(food allergy)，過敏性鼻炎(allergic rhinitis)的風險是有相關的。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Regarding the clinical presentation and treatment of patients with atopic dermatitis, which of the following is correct?
①The distribution area of skin lesions will change with the age of the patient. In infancy, they most commonly occur on the scalp, face and diaper area.
②Because histamine is not the main substance that causes itching in atopic dermatitis, there is currently insufficient evidence to show that antihistamines can effectively improve the itching in atopic dermatitis.
③Dupilumab, a biological agent used to treat atopic dermatitis, is a monoclonal antibody that acts on the IL-4 receptor α subunit. A common side effect is infective conjunctivitis.
④The severity of the patient's skin symptoms is related to the risk of developing other allergic diseases, including asthma, food allergy, and allergic rhinitis.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,28,E,,"關於granuloma inguinale，下列敘述何者正確？
①其致病菌為Klebsiella granulomatis為gram-negative bacteria。
②其臨床主要可分為四個型態：ulcerogranulomatous, hypertrophic, necrotic和sclerotic type。
③診斷主要是組織學上可見intracellular Donovan body。
④治療藥物第一線建議為azithromycin。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Regarding granuloma inguinale, which of the following statements is correct?
①The causative bacteria are Klebsiella granulomatis and gram-negative bacteria.
②It can be mainly divided into four clinical types: ulcerogranulomatous, hypertrophic, necrotic and sclerotic type.
③The diagnosis is mainly based on histological findings of intracellular Donovan body.
④The first line of treatment drug is recommended to be azithromycin.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
